Name,Description,Icon,Platform,Policy,Status Light,Status
10.123.87.151 (ec2-lt-orprdbhaoaprd001) [i-08c5a54c418b8859f],,,Amazon Linux 2 (64 bit),Linux,Managed [Green],Managed (Online)
ec2-54-255-8-58.ap-southeast-1.compute.amazonaws.com (ec2-lt-orprdpnsf001) [i-091a684aa429abbdd],,,Amazon Linux 2 (64 bit),Linux,Managed [Green],Managed (Online)
10.123.119.153 (ec2-lt-orsitbhaoasit001) [i-0afe8ae3390087ee1],,,Amazon Linux 2 (64 bit),Linux,Managed [Green],Managed (Online)
ec2-3-0-243-230.ap-southeast-1.compute.amazonaws.com (ec2-lt-orsitpnsf001) [i-0b68d6e1cef5df845],,,Amazon Linux 2 (64 bit),Linux,Managed [Green],Managed (Online)
10.123.103.153 (ec2-lt-orstgbhaoastg001) [i-0cd55ac0239b8c7d0],,,Amazon Linux 2 (64 bit),Linux,Managed [Green],Managed (Online)
ec2-18-140-139-204.ap-southeast-1.compute.amazonaws.com (ec2-lt-orstgpnsf001) [i-01af414ecb5dcd019],,,Amazon Linux 2 (64 bit),Linux,Managed [Green],Managed (Online)
10.123.91.151 (ec2-lt-orprdbhaoawebprd001) [i-0169d726516435f23],,,Amazon Linux 2 (64 bit),Linux,Managed [Green],Managed (Online)
10.123.123.156 (ec2-lt-orsitbhaoawebsit001) [i-0639c5d851e1c06e4],,,Amazon Linux 2 (64 bit),Linux,Managed [Green],Managed (Online)
10.123.107.148 (ec2-lt-orstgbhaoawebstg001) [i-0659048b9303a9622],,,Amazon Linux 2 (64 bit),Linux,Managed [Green],Managed (Online)
10.123.95.149 (ec2-lt-orprdbhblueplusprd001) [i-0e70223ea1f17fc57],,,Amazon Linux 2 (64 bit),Linux,Managed [Green],Managed (Online)
10.123.127.148 (ec2-lt-orsitbhblueplussit001) [i-0f3c7ac2991652488],,,Amazon Linux 2 (64 bit),Linux,Managed [Green],Managed (Online)
10.123.111.149 (ec2-lt-orstgbhblueplusstg001) [i-06b199d00e4bbb3ae],,,Amazon Linux 2 (64 bit),Linux,Managed [Green],Managed (Online)
10.123.255.157 (ec2-lt-orprdbhcdpprd001) [i-0f8f530848eadb656],,,Amazon Linux 2 (64 bit),Linux,Managed [Green],Managed (Online)
10.123.70.139 (ec2-lt-orprdbhdso001) [i-0f1e8b91113ec587b],,,Amazon Linux 2 (64 bit),Linux,Managed [Green],Managed (Online)
10.123.93.151 (ec2-lt-orprdbhevpluzprd001) [i-0a4f3f0955917fdb0],,,Amazon Linux 2 (64 bit),Linux,Managed [Green],Managed (Online)
ec2-3-0-109-88.ap-southeast-1.compute.amazonaws.com (ec2-lt-orprdpnsf001) [i-068a89c2f9de57fa5],,,Amazon Linux 2 (64 bit),Linux,Managed [Green],Managed (Online)
10.123.125.152 (ec2-lt-orsitbhevpluzsit001) [i-05d2832a2961443fb],,,Amazon Linux 2 (64 bit),Linux,Managed [Green],Managed (Online)
ec2-18-143-62-104.ap-southeast-1.compute.amazonaws.com (ec2-lt-orsitpnsf001) [i-070c5565ca40512f2],,,Amazon Linux 2 (64 bit),Linux,Managed [Green],Managed (Online)
10.123.109.155 (ec2-lt-orstgbhevpluzstg001) [i-01d490761aaab23d4],,,Amazon Linux 2 (64 bit),Linux,Managed [Green],Managed (Online)
ec2-18-141-73-4.ap-southeast-1.compute.amazonaws.com (ec2-lt-orstgpnsf001) [i-0c3f1114e869f38f6],,,Amazon Linux 2 (64 bit),Linux,Managed [Green],Managed (Online)
10.123.85.150 (ec2-lt-orprdbhgeoprd001) [i-0fb9dd26814f27d82],,,Amazon Linux 2 (64 bit),Linux,Managed [Green],Managed (Online)
10.123.117.149 (ec2-lt-orsitbhgeosit001) [i-0c03c4abc8e8724e0],,,Amazon Linux 2 (64 bit),Linux,Managed [Green],Managed (Online)
10.123.101.149 (ec2-lt-orstgbhgeostg001) [i-0d058bdb950ff46a6],,,Amazon Linux 2 (64 bit),Linux,Managed [Green],Managed (Online)
10.123.161.154 (ec2-lt-orprdbhhwprd001) [i-0cf32e57a7a4303e3],,,Amazon Linux 2 (64 bit),Linux,Managed [Green],Managed (Online)
10.123.181.150 (ec2-lt-orsitbhhwsit001) [i-00fdf05f828368bfd],,,Amazon Linux 2 (64 bit),Linux,Managed [Green],Managed (Online)
10.123.171.156 (ec2-lt-orstgbhhwstg001) [i-052328cc15fca2de6],,,Amazon Linux 2 (64 bit),Linux,Managed [Green],Managed (Online)
10.123.82.57 (ec2-lt-orprdedcols001) [i-05171e92e8e449200],,,Amazon Linux 2 (64 bit),Linux,Managed [Green],Managed (Online)
10.123.82.37 (ec2-orprdedcweb002) [i-04723be64ca731f89],,,Amazon Linux 2 (64 bit),Linux,Managed [Green],Managed (Online)
10.123.82.11 (ec2-orprdedcapp002) [i-08d86e221fe0b64fc],,,Amazon Linux 2 (64 bit),Linux,Managed [Green],Managed (Online)
10.123.82.135 (ec2-lt-orprdedcols001) [i-0122b0228f507eaba],,,Amazon Linux 2 (64 bit),Linux,Managed [Green],Managed (Online)
10.123.83.220 (ec2-lt-orprdbhlmsprd001) [i-01f0e61f8d3ebb32b],,,Amazon Linux 2 (64 bit),Linux,Managed [Green],Managed (Online)
10.123.114.9 (ec2-lt-orsitedcols001) [i-06a34ae8ed2fe65e4],,,Amazon Linux 2 (64 bit),Linux,Managed [Green],Managed (Online)
10.123.114.6 (ec2-orsitedcapp001) [i-05e1a1ba798e99323],,,Amazon Linux 2 (64 bit),Linux,Managed [Green],Managed (Online)
10.123.114.19 (ec2-orsitedcweb001) [i-0f1537bf665fec4dc],,,Amazon Linux 2 (64 bit),Linux,Managed [Green],Managed (Online)
10.123.114.140 (ec2-lt-orsitedcols001) [i-0fa9dcb08a60ac8db],,,Amazon Linux 2 (64 bit),Linux,Managed [Green],Managed (Online)
10.123.115.153 (ec2-lt-orsitbhlmssit001) [i-04edd7b8fb9ac0dd5],,,Amazon Linux 2 (64 bit),Linux,Managed [Green],Managed (Online)
10.123.98.58 (ec2-lt-orstgedcols001) [i-02bc89cbf4fd98c5f],,,Amazon Linux 2 (64 bit),Linux,Managed [Green],Managed (Online)
10.123.98.28 (ec2-orstgedctest002) [i-0d7e59b74a2e10543],,,Amazon Linux 2 (64 bit),Linux,Managed [Green],Managed (Online)
10.123.98.22 (ec2-orstgedctest001) [i-0a011199fcce5500d],,,Amazon Linux 2 (64 bit),Linux,Managed [Green],Managed (Online)
